"scenario","gamma","omega","method","method_label","step","metric","n","mean","sd","se","ci_low","ci_high","method_label_paper","total_evaluated"
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",27,"standardized_regret",30,0.332104238732115,0.25369999362532,0.0463190697825015,0.23737110421693,0.4268373732473,"FSA-KD",47
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",28,"standardized_regret",30,0.318378974700708,0.235057311198516,0.0429153972166464,0.230607132209324,0.406150817192093,"FSA-KD",48
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",29,"standardized_regret",30,0.29575651819404,0.205100124471359,0.0374459882400269,0.219170873066585,0.372342163321496,"FSA-KD",49
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",30,"standardized_regret",30,0.29260773223611,0.207439112971434,0.0378730271611057,0.21514869444892,0.3700667700233,"FSA-KD",50
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",31,"standardized_regret",30,0.291572144000739,0.206673535285038,0.0377332524383184,0.214398977619814,0.368745310381664,"FSA-KD",51
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",32,"standardized_regret",30,0.287291183456095,0.20497807533078,0.0374237052175538,0.210751112226718,0.363831254685472,"FSA-KD",52
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",33,"standardized_regret",30,0.272195237983811,0.19824725678112,0.0361948315008462,0.198168495706282,0.346221980261341,"FSA-KD",53
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",34,"standardized_regret",30,0.259994246093435,0.190818645933298,0.0348385589234195,0.188741392694071,0.3312470994928,"FSA-KD",54
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",35,"standardized_regret",30,0.259994246093435,0.190818645933298,0.0348385589234195,0.188741392694071,0.3312470994928,"FSA-KD",55
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",36,"standardized_regret",30,0.241050614480633,0.160226008470484,0.0292531330460993,0.181221239649499,0.300879989311767,"FSA-KD",56
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",37,"standardized_regret",30,0.229166034378262,0.151772914301456,0.027709816260402,0.172493096784437,0.285838971972087,"FSA-KD",57
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",38,"standardized_regret",30,0.229166034378262,0.151772914301456,0.027709816260402,0.172493096784437,0.285838971972087,"FSA-KD",58
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",39,"standardized_regret",30,0.229166034378262,0.151772914301456,0.027709816260402,0.172493096784437,0.285838971972087,"FSA-KD",59
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",40,"standardized_regret",30,0.222503106764567,0.143853517661801,0.026263938866612,0.168787320475411,0.276218893053723,"FSA-KD",60
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",0,"standardized_regret",30,1.56834199289092,0.401269638948568,0.0732614776313615,1.41850544721282,1.71817853856902,"Hamming",20
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",1,"standardized_regret",30,1.24683865002978,0.41007173681866,0.0748685134836339,1.09371534699064,1.39996195306892,"Hamming",21
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",2,"standardized_regret",30,1.13181832194334,0.443629642274164,0.0809953207505023,0.966164291070368,1.29747235281631,"Hamming",22
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",3,"standardized_regret",30,1.04107664578705,0.406945304376696,0.074297707625974,0.889120771807901,1.1930325197662,"Hamming",23
