"method","initial_standardized_regret","initial_standardized_regret_ci_low","initial_standardized_regret_ci_high","standardized_regret_sum_auc","standardized_regret_sum_auc_ci_low","standardized_regret_sum_auc_ci_high","final_standardized_regret","final_standardized_regret_ci_low","final_standardized_regret_ci_high","nrmse","nrmse_ci_low","nrmse_ci_high","final_top_0p1pct_hit_rate","method_label","design_class","method_order"
"fsa_lambda05",1.52451188228057,1.38436557711169,1.66465818744945,18.9746912825492,15.4403934712569,22.5089890938415,0.222503106764567,0.168787320475411,0.276218893053723,0.722654493247379,0.688218703169542,0.757090283325216,1,"FSA-KD","strict foldover (intrinsic to FSA-KD)",1
"unrestricted_hamming",1.56834199289092,1.41850544721282,1.71817853856902,24.9018281036807,20.7405953372394,29.063060870122,0.354183465246769,0.268382345717401,0.439984584776136,0.745443319511201,0.727728275548128,0.763158363474274,0.9,"Hamming","unrestricted nonreplicated permutations",2
"unrestricted_position_l2",1.51200333424848,1.36649368550987,1.65751298298708,22.3702697142691,18.6797143852856,26.0608250432527,0.280670949111285,0.201098748301217,0.360243149921352,0.749831022482567,0.724783188563658,0.774878856401477,0.933333333333333,"L2","unrestricted nonreplicated permutations; inverse-position L2",3
"srs",1.58888402690321,1.39030993654224,1.78745811726418,24.0243960783108,20.0491560262384,27.9996361303833,0.284334413074244,0.210121283595585,0.358547542552902,0.818675260648318,0.785030631669423,0.852319889627214,0.966666666666667,"SRS","unrestricted no-search random design",4
