"scenario","gamma","omega","reference","reference_label","competitor","competitor_label","metric","metric_type","difference_direction","n","mean","sd","se","wins","ties","losses","ci_high","ci_low","reference_label_paper","competitor_label_paper"
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5","unrestricted_hamming","Unrestricted Hamming maximin","final_standardized_regret","loss","competitor minus FSA-KD lambda=0.5; positive favors FSA-KD",30,0.131680358482202,0.231080753328112,0.0421893804010313,19,5,6,0.217967329861603,0.0453933871028,"FSA-KD","Hamming"
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5","unrestricted_hamming","Unrestricted Hamming maximin","nrmse","loss","competitor minus FSA-KD lambda=0.5; positive favors FSA-KD",30,0.0227888262638223,0.10053677139724,0.0183554191843362,22,0,8,0.060329873673398,-0.0147522211457534,"FSA-KD","Hamming"
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5","unrestricted_hamming","Unrestricted Hamming maximin","standardized_regret_sum_auc","loss","competitor minus FSA-KD lambda=0.5; positive favors FSA-KD",30,5.92713682113154,12.7213289367763,2.32258627337186,21,0,9,10.6773591138422,1.17691452842088,"FSA-KD","Hamming"
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5","unrestricted_position_l2","Unrestricted position-L2 maximin","final_standardized_regret","loss","competitor minus FSA-KD lambda=0.5; positive favors FSA-KD",30,0.0581678423467176,0.183530607280807,0.0335079512001066,15,7,8,0.126699297388312,-0.0103636126948764,"FSA-KD","L2"
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5","unrestricted_position_l2","Unrestricted position-L2 maximin","nrmse","loss","competitor minus FSA-KD lambda=0.5; positive favors FSA-KD",30,0.0271765292351884,0.109808010696365,0.0200481081510559,18,0,12,0.0681795142944102,-0.0138264558240335,"FSA-KD","L2"
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5","unrestricted_position_l2","Unrestricted position-L2 maximin","standardized_regret_sum_auc","loss","competitor minus FSA-KD lambda=0.5; positive favors FSA-KD",30,3.39557843171999,9.66718560166933,1.76497854054115,19,0,11,7.00536486056286,-0.214207997122879,"FSA-KD","L2"
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5","srs","SRS","final_standardized_regret","loss","competitor minus FSA-KD lambda=0.5; positive favors FSA-KD",30,0.0618313063096767,0.228408597503935,0.0417015137270078,13,8,9,0.147120478305957,-0.0234578656866036,"FSA-KD","SRS"
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5","srs","SRS","nrmse","loss","competitor minus FSA-KD lambda=0.5; positive favors FSA-KD",30,0.0960207674009395,0.142695666321509,0.0260525451008403,23,0,7,0.149304204894177,0.0427373299077018,"FSA-KD","SRS"
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5","srs","SRS","standardized_regret_sum_auc","loss","competitor minus FSA-KD lambda=0.5; positive favors FSA-KD",30,5.04970479576165,15.1303855633634,2.76241782560155,18,0,12,10.6994836166377,-0.600074025114401,"FSA-KD","SRS"
