"candidate","k_min","k_m2","A","B","Phi050","nearest_pair_multiplicity","pair_indices","design_sha256"
877,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"4;6;7;8;9;11","a6197d534f81d05795dbcb9b01f1d3f6ca2b1ec9711acf9152b657368fa10624"
878,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"4;6;7;8;9;12","c082061000aba5afcfc1595552b08aedaf57fce087ce28d468d94e65001017b1"
879,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"4;6;7;8;10;11","fffffa74d40ba41f8ab2a3d7bb80e408c21e6c734227d53ffc0e287b12d5490e"
880,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"4;6;7;8;10;12","448f1eb8b6b03bb89e1dbc65cb8c3fc52bda17b4975233f9dcbbd1b31c9d98b8"
881,1,12.5454545454545,0,0.875,0.4375,6,"4;6;7;8;11;12","ba16541b185445a33fd97e906774efd74cdfcc8fbe863c06e6f24b9941b0969e"
882,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"4;6;7;9;10;11","9c907a1791967e626d7b4017018f12ef353444f1b632a037c84c2a8afc2639a4"
883,1,13.0909090909091,0,0.6875,0.34375,10,"4;6;7;9;10;12","e6d06d7dda9e92fcb6d62b5511c59c4dbb8ab3799011fbb9bea82ebae75b7a43"
884,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"4;6;7;9;11;12","96e6560308650d2ea62be45c65ba1aca3ab332055e0847bd0b47cc7353d8e8bf"
885,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"4;6;7;10;11;12","421a14e8aad5c9a897a8c95c932193c6c8efddf7b18d0874eda59b95629f8da2"
886,1,13.0909090909091,0,0.6875,0.34375,10,"4;6;8;9;10;11","e715ae2d9c4a30966e326fbc32c6fbc257fbebe75e600ba1804a4bc6fe212c8e"
887,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"4;6;8;9;10;12","416a48f458e92aedbc4de17f20ada727b259e71c097ccb2293669b038e09a040"
888,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"4;6;8;9;11;12","f2e256407606cb90f4c100380d45f47e6a206036c18e6190eaef4a674300e2cb"
889,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"4;6;8;10;11;12","a530c1b468e3acc1d32be182d2e3499c18b294c5f92fe49cbc171e4ded795fb7"
890,1,13.2727272727273,0,0.625,0.3125,12,"4;6;9;10;11;12","45d8dfd4467f7399505fa7c5584c8f95311d5b44c726d37ffd2af066f16d7ca6"
891,1,13.0909090909091,0,0.6875,0.34375,10,"4;7;8;9;10;11","b6199b79c27fc1d1651facaead135e6529f5045c014ad25251395a055c66f3a0"
892,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"4;7;8;9;10;12","9e350b45e4a14016ae553384028cf9339eac5e72bd37b395a20f94ee5b0594e0"
893,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"4;7;8;9;11;12","d0c875e2b054795efba41e19d27aaa4277fe50dc6d13240b553d114b79bce870"
894,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"4;7;8;10;11;12","8b24a4a0a3458a311d9904d162cba42073c35e9e2435ffa20b2493182d356b3c"
895,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"4;7;9;10;11;12","19c4d76b05685a761584dc1e945a8495a2b7ee9a72591c61aa7268457d578505"
896,1,13.0909090909091,0,0.6875,0.34375,10,"4;8;9;10;11;12","d0dafc77043f6261bdaaf5b95e264ca230f327122570e16f0027958bdd62ebe9"
897,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"5;6;7;8;9;10","551409af12da1cd0de4d9e8e24cc5119062ab6118e0b6d2ca6f73589f09bce0d"
898,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"5;6;7;8;9;11","ca70cbb5d36bcf4de3457ca51383b8f07597192a106b9c6a18c9a59fef249998"
899,1,13.2727272727273,0,0.625,0.3125,12,"5;6;7;8;9;12","c5987cc0179b6e2fbe5a4b33adf49853387f35cb3149d9c7d6b9c9f1c9ba7ad8"
900,1,12.7878787878788,0,0.791666666666667,0.395833333333333,8,"5;6;7;8;10;11","8c0093e65c4678d43cfa3b0f3abf7913e0db6d468f5535b4dc17b27db20c4660"
901,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"5;6;7;8;10;12","b8f1164b4788e87bacbf9ede724018bd82cc7ec1f30d51330c188bb2e1b2dd4b"
902,1,12.7878787878788,0,0.791666666666667,0.395833333333333,8,"5;6;7;8;11;12","fecc6fc951d7aa22ed0af1addd86f8db0d897a6d317da0219a711a8d305374aa"
903,1,12.7878787878788,0,0.791666666666667,0.395833333333333,8,"5;6;7;9;10;11","beb8b2bd2adc0b857f652f4ae0b523af83c9f643ecd8383698e67bdb4153fe01"
904,1,13.0909090909091,0,0.6875,0.34375,10,"5;6;7;9;10;12","e21e578d97ffd0e055b0f6b30f1bd9a1922db03597925e96478877553a20964b"
905,1,13.2727272727273,0,0.625,0.3125,12,"5;6;7;9;11;12","1b33bd5a60d3a9a16d37287dcd026ca57080ec47910a5481682ffbb209c02000"
906,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"5;6;7;10;11;12","23902463305c6ffa4ea402109a35e6beb4c927522ef8b210e830dd50d5fdd549"
907,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"5;6;8;9;10;11","fbc9ee2e2e8422d3741ca6203fbd7c465e23f6c79f03682f322bf79ed0091804"
908,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"5;6;8;9;10;12","8f97d031b33276eda8fa52e194fa60dd1804b0f70f04b5cd045f14a86312a293"
909,1,13.0909090909091,0,0.6875,0.34375,10,"5;6;8;9;11;12","5176ad406375b9ec0146f4ae5f8bee7328a4f2c76f97e0d3a71a44207310c945"
910,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"5;6;8;10;11;12","62294904c98335421d5dea2fe1b4d1d8d90ed736912dc60e669385abeddbb480"
