"m","n","lambda","k_min_mean","k_min_sd","k_min_se","k_ave_mean","k_ave_sd","k_ave_se","k_m2_mean","k_m2_sd","k_m2_se","A_mean","A_sd","A_se","B_mean","B_sd","B_se","phi_lambda_mean","phi_lambda_sd","phi_lambda_se","elapsed_sec_mean","elapsed_sec_sd","elapsed_sec_se","n_iter_mean","n_iter_sd","n_iter_se","n_runs"
5,5,0,4,0,0,6,0,0,40.2,0,0,0.75,0,0,0.806047516198704,0,0,0.806047516198704,0,0,0.0169499999999988,0.00559581610622798,0.0012512625203114,6000,0,0,20
5,5,0.1,4,0,0,6,0,0,40.2,0,0,0.75,0,0,0.806047516198704,0,0,0.800442764578834,0,0,0.0154999999999998,0.00514525842019056,0.00115051475893493,6000,0,0,20
5,5,0.2,4,0,0,6,0,0,40.2,0,0,0.75,0,0,0.806047516198704,0,0,0.794838012958963,0,0,0.014750000000002,0.00502493781056134,0.00112361025271241,6000,0,0,20
5,5,0.3,4,0,0,6,0,0,40.2,0,0,0.75,0,0,0.806047516198704,0,0,0.789233261339093,0,0,0.0169500000000016,0.00580811591880749,0.00129873420156522,6000,0,0,20
5,5,0.4,4,0,0,6,0,0,40.2,0,0,0.75,0,0,0.806047516198704,0,0,0.783628509719222,0,0,0.0135999999999995,0.00243656358530966,0.000544832180825301,6000,0,0,20
5,5,0.5,4,0,0,6,0,0,40.2,0,0,0.75,0,0,0.806047516198704,0,0,0.778023758099352,0,0,0.0161999999999988,0.00569949212880503,0.0012744451837233,6000,0,0,20
5,5,0.6,4,0,0,6,0,0,40.2,0,0,0.75,0,0,0.806047516198704,0,0,0.772419006479482,0,0,0.01455,0.00518575985398123,0.00115957115484914,6000,0,0,20
5,5,0.7,4,0,0,6,0,0,40.2,0,0,0.75,0,0,0.806047516198704,0,0,0.766814254859611,0,0,0.0143500000000006,0.00528428653751236,0.00118160239104646,6000,0,0,20
5,5,0.8,4,0,0,6,0,0,40.2,0,0,0.75,0,0,0.806047516198704,0,0,0.761209503239741,0,0,0.0170500000000009,0.0178162403736781,0.00398383245790205,6000,0,0,20
5,5,0.9,4,0,0,6,0,0,40.2,0,0,0.75,0,0,0.806047516198704,0,0,0.75560475161987,0,0,0.0141999999999994,0.00363607654368951,0.000813051432308224,6000,0,0,20
5,5,1,4,0,0,6,0,0,40.51,0.300700935534922,0.0672387732753867,0.75,0,0,0.789978401727862,0.0155870895309679,0.00348537917626195,0.75,0,0,0.0142499999999981,0.00438748219369589,0.00098107084351739,6000,0,0,20
5,10,0,3.47368421052632,0.512989176042577,0.117687788289463,5.55555555555556,0,0,33.9789473684211,0.10618039473247,0.0243594531802156,0.618421052631579,0.128247294010644,0.0294219470723656,0.896255308197143,0.00700946371094545,0.00160808126128562,0.896255308197143,0.00700946371094545,0.00160808126128562,0.0216315789473669,0.00584247404136156,0.00134035546981867,6000,0,0,20
5,10,0.1,3.9,0.307793505625546,0.0688247201611685,5.55555555555556,0,0,34.0533333333333,0.177543705552791,0.0396999794593248,0.725,0.0769483764063866,0.0172061800402921,0.891344743276284,0.0117204891196219,0.00262078104010212,0.874710268948655,0.0139819956578541,0.00312646927520686,0.0229999999999992,0.00589379691754492,0.00131789305532092,6000,0,0,20
5,10,0.2,3.95,0.223606797749979,0.05,5.55555555555556,0,0,34.1777777777778,0.1135406886504,0.0253884698034434,0.7375,0.0559016994374947,0.0125,0.883129584352078,0.00749535108450074,0.00167601145401704,0.854003667481663,0.0111307913876737,0.00248892061862076,0.0214499999999998,0.0053061533296622,0.00118649195441615,6000,0,0,20
5,10,0.3,4,0,0,5.55555555555556,0,0,34.1866666666667,0.109437690889083,0.0244710116128598,0.75,0,0,0.882542787286064,0.00722449304157756,0.00161544575439416,0.842779951100244,0.00505714512910429,0.00113081202807592,0.0228999999999995,0.00643101039781631,0.00143801764135252,6000,0,0,20
5,10,0.4,4,0,0,5.55555555555556,0,0,34.1866666666667,0.109437690889083,0.0244710116128598,0.75,0,0,0.882542787286064,0.00722449304157756,0.00161544575439416,0.829525672371638,0.00433469582494654,0.000969267452636499,0.0248000000000004,0.00638748776906929,0.00142828568570874,6000,0,0,20
5,10,0.5,4,0,0,5.55555555555556,0,0,34.0977777777778,0.173994839086077,0.0389064287930605,0.75,0,0,0.88841075794621,0.011486211871208,0.00256839505479861,0.819205378973105,0.00574310593560398,0.0012841975273993,0.0227000000000002,0.00553553116359676,0.00123778239733709,6000,0,0,20
5,10,0.6,4,0,0,5.55555555555556,0,0,34.0622222222222,0.181481879300992,0.0405805818801429,0.75,0,0,0.890757946210269,0.0119804663597231,0.00267891371824903,0.806303178484108,0.00479218654388925,0.00107156548729961,0.0238999999999998,0.00767017463604084,0.0017151031885482,6000,0,0,20
5,10,0.7,4,0,0,5.55555555555556,0,0,34.1333333333333,0.157959700735757,0.0353208628550677,0.75,0,0,0.886063569682151,0.0104276575057835,0.00233169510290177,0.790819070904645,0.00312829725173504,0.000699508530870532,0.0232500000000004,0.0064144163290301,0.0014343070947696,6000,0,0,20
5,10,0.8,3.95,0.223606797749979,0.05,5.55555555555556,0,0,34.16,0.132472856954772,0.0296218313324476,0.7375,0.0559016994374947,0.0125,0.884303178484108,0.00874515192610961,0.00195547541803443,0.766860635696822,0.0443952665150031,0.00992708338067671,0.0225999999999989,0.0056698649385198,0.00126782034257729,6000,0,0,20
5,10,0.9,4,0,0,5.55555555555556,0,0,34.0977777777778,0.173994839086077,0.0389064287930605,0.75,0,0,0.88841075794621,0.011486211871208,0.00256839505479861,0.763841075794621,0.0011486211871208,0.000256839505479861,0.0211500000000006,0.00518372960633448,0.00115911717767421,6000,0,0,20
5,10,1,4,0,0,5.55555555555556,0,0,34.2044444444444,0.0795046391999922,0.0177777777777777,0.75,0,0,0.881369193154034,0.0052484725144249,0.00117359413202933,0.75,0,0,0.0211999999999993,0.00559699167316404,0.00125152538506951,6000,0,0,20
5,15,0,1.85,0.489360484929593,0.109424330980483,5.33333333333333,0,0,31.8409523809524,0.098930912542533,0.022121624552119,0.2125,0.122340121232398,0.0273560827451208,0.95768115942029,0.00708456662708678,0.00158415725692924,0.95768115942029,0.00708456662708678,0.00158415725692924,0.036250000000001,0.00599012345009314,0.00133943232280238,6000,0,0,20
5,15,0.1,2.25,0.444261658319319,0.0993399267798783,5.33333333333333,0,0,31.9057142857143,0.127920938705339,0.0286039914690723,0.3125,0.11106541457983,0.0248349816949696,0.95304347826087,0.00916057873081713,0.00204836767553458,0.888989130434783,0.0122530590458634,0.00273986729588693,0.0374999999999986,0.0065333154314085,0.00146089374230778,6000,0,0,20
5,15,0.2,2.15,0.366347548532523,0.0819178021909125,5.33333333333333,0,0,31.8542857142857,0.189498745209803,0.0423732075940033,0.2875,0.0915868871331308,0.0204794505477281,0.956726342710997,0.0135702426237199,0.00303439849778029,0.822881074168798,0.0145757873252298,0.00325924512847936,0.0355500000000002,0.00618550938208023,0.00138312194537941,6000,0,0,20
5,15,0.3,2.3,0.470162345981627,0.105131496607569,5.33333333333333,0,0,31.9219047619048,0.213710729557303,0.0477871718811204,0.325,0.117540586495407,0.0262828741518923,0.951884057971014,0.0153040931652289,0.00342209926514417,0.76381884057971,0.0307670323324243,0.00687971757612345,0.035250000000002,0.00620589702579243,0.00138768076110356,6000,0,0,20
5,15,0.4,2.3,0.470162345981627,0.105131496607569,5.33333333333333,0,0,31.8619047619048,0.121866378669059,0.0272501506875745,0.325,0.117540586495407,0.0262828741518923,0.95618073316283,0.00872700409906302,0.00195141744054242,0.703708439897698,0.0454967451993464,0.0101733815020726,-0.0147499999999994,0.223285956614051,0.0499282577410088,6000,0,0,20
5,15,0.5,2.25,0.444261658319319,0.0993399267798783,5.33333333333333,0,0,31.8857142857143,0.174792940091856,0.0390848896032439,0.3125,0.11106541457983,0.0248349816949696,0.954475703324808,0.0125171414899539,0.002798917925552,0.633487851662404,0.0513659795883311,0.0114857822090375,0.0367499999999991,0.00715155485486174,0.00159913628002895,6000,0,0,20
5,15,0.6,2.35,0.489360484929593,0.109424330980483,5.33333333333333,0,0,31.927619047619,0.158354107593749,0.0354090549095939,0.3375,0.122340121232398,0.0273560827451208,0.951474850809889,0.01133993609367,0.00253568679659496,0.583089940323956,0.0697196249796742,0.0155897820820344,0.0362000000000014,0.00605761808321617,0.00135452458158033,6000,0,0,20
5,15,0.7,2.5,0.512989176042577,0.114707866935281,5.33333333333333,0,0,31.9047619047619,0.12204252866994,0.0272895390251953,0.375,0.128247294010644,0.0286769667338202,0.95311167945439,0.00873961842137679,0.00195423808876079,0.548433503836317,0.0877739114470729,0.0196268432646702,0.0398000000000004,0.0189002923953989,0.00422623385907343,6000,0,0,20
5,15,0.8,2.3,0.470162345981627,0.105131496607569,5.33333333333333,0,0,31.9180952380952,0.175566870398776,0.0392579456808558,0.325,0.117540586495407,0.0262828741518923,0.952156862745098,0.0125725636091195,0.00281131068814313,0.45043137254902,0.0923469231678455,0.0206493997716253,0.036849999999999,0.00589625215485822,0.00131844206307426,6000,0,0,20
5,15,0.9,2.2,0.410391340834062,0.0917662935482247,5.33333333333333,0,0,31.8561904761905,0.111832483456858,0.0250065035102154,0.3,0.102597835208515,0.0229415733870562,0.956589940323956,0.00800846428847062,0.00179074705443998,0.365658994032396,0.0918644941799027,0.0205415253704896,0.0371499999999995,0.0071765333956528,0.0016047216515477,6000,0,0,20
