"protocol_hash","layer","method","method_label","m","n","ratio","setting","rep","design_class","strict_foldover","seed","design_sha256","pwo_p","pwo_rank","pwo_full_rank","pwo_ms_efficiency","mallows_theta_c1","mallows_logdet_c1","mallows_det_root_c1","mallows_theta_c4","mallows_logdet_c4","mallows_det_root_c4","paper_label","method_order"
"38742154048e9e265f747779813d6924ec5acf3bb0cf89fdf5cfb693074a00f3","paper_method_end_to_end","FSA_KD_phi050","FSA-KD Phi(0.5)",6,6,1,"m6_n6",12,"strict_foldover",TRUE,1575399338,"79f42f4f93342f5869499630034b72f4116fc8ec3c5b9b8318687392048e3216",16,4,FALSE,0.382608695652174,0.0666666666666667,-3.79486977642028,0.531273515065694,0.266666666666667,-0.200202985444726,0.96718337923712,"FSA-KD",1
"38742154048e9e265f747779813d6924ec5acf3bb0cf89fdf5cfb693074a00f3","paper_method_end_to_end","FSA_KD_phi050","FSA-KD Phi(0.5)",6,6,1,"m6_n6",13,"strict_foldover",TRUE,1575399339,"ef191b39373440d96cb5fb3d84bfc8b575ddfcbf969a67c0c1dc2f6a6029d01f",16,4,FALSE,0.382608695652174,0.0666666666666667,-3.79486977642028,0.531273515065694,0.266666666666667,-0.200202985444726,0.96718337923712,"FSA-KD",1
"38742154048e9e265f747779813d6924ec5acf3bb0cf89fdf5cfb693074a00f3","paper_method_end_to_end","FSA_KD_phi050","FSA-KD Phi(0.5)",6,6,1,"m6_n6",14,"strict_foldover",TRUE,1575399340,"b0123b5112842d449e0f99a8b5a90fa0563be319eb55d89d7662dbdc662abb09",16,4,FALSE,0.382608695652174,0.0666666666666667,-3.79486977642028,0.531273515065694,0.266666666666667,-0.200202985444726,0.96718337923712,"FSA-KD",1
"38742154048e9e265f747779813d6924ec5acf3bb0cf89fdf5cfb693074a00f3","paper_method_end_to_end","FSA_KD_phi050","FSA-KD Phi(0.5)",6,6,1,"m6_n6",15,"strict_foldover",TRUE,1575399341,"4221bb4e796f63dfebe725829b9f2247114fc49e44499d60bb8ac19e1b9fa80d",16,4,FALSE,0.382608695652174,0.0666666666666667,-3.79486977642028,0.531273515065694,0.266666666666667,-0.200202985444726,0.96718337923712,"FSA-KD",1
"38742154048e9e265f747779813d6924ec5acf3bb0cf89fdf5cfb693074a00f3","paper_method_end_to_end","FSA_KD_phi050","FSA-KD Phi(0.5)",6,6,1,"m6_n6",16,"strict_foldover",TRUE,1575399342,"9dee297870e238dad6c1345a41860c191f43816e9c7be7bb19a774fdc113e07e",16,4,FALSE,0.382608695652174,0.0666666666666667,-3.79486977642028,0.531273515065694,0.266666666666667,-0.200202985444726,0.96718337923712,"FSA-KD",1
"38742154048e9e265f747779813d6924ec5acf3bb0cf89fdf5cfb693074a00f3","paper_method_end_to_end","FSA_KD_phi050","FSA-KD Phi(0.5)",6,6,1,"m6_n6",17,"strict_foldover",TRUE,1575399343,"29707392e46b966db48159b2230a4349568658e0e3973c779608afe55621036a",16,4,FALSE,0.382608695652174,0.0666666666666667,-3.79486977642028,0.531273515065694,0.266666666666667,-0.200202985444727,0.96718337923712,"FSA-KD",1
"38742154048e9e265f747779813d6924ec5acf3bb0cf89fdf5cfb693074a00f3","paper_method_end_to_end","FSA_KD_phi050","FSA-KD Phi(0.5)",6,6,1,"m6_n6",18,"strict_foldover",TRUE,1575399344,"d039a886baa93a9a9687c861776388447f39ef68f96280689c01aed797d06d80",16,4,FALSE,0.382608695652174,0.0666666666666667,-3.79486977642028,0.531273515065694,0.266666666666667,-0.200202985444726,0.96718337923712,"FSA-KD",1
"38742154048e9e265f747779813d6924ec5acf3bb0cf89fdf5cfb693074a00f3","paper_method_end_to_end","FSA_KD_phi050","FSA-KD Phi(0.5)",6,6,1,"m6_n6",19,"strict_foldover",TRUE,1575399345,"a6bad52eded894a3af0d29eca24a4ec2ef2a866bd1e6f149cb1efe2ed54d9ec1",16,4,FALSE,0.382608695652174,0.0666666666666667,-3.79486977642028,0.531273515065694,0.266666666666667,-0.200202985444726,0.96718337923712,"FSA-KD",1
"38742154048e9e265f747779813d6924ec5acf3bb0cf89fdf5cfb693074a00f3","paper_method_end_to_end","FSA_KD_phi050","FSA-KD Phi(0.5)",6,6,1,"m6_n6",20,"strict_foldover",TRUE,1575399467,"e6ae608ce70f332247afc4e7e2eba78b12b1ccf9f81d801190089bab6cf12945",16,4,FALSE,0.382608695652174,0.0666666666666667,-3.79486977642028,0.531273515065694,0.266666666666667,-0.200202985444727,0.96718337923712,"FSA-KD",1
"38742154048e9e265f747779813d6924ec5acf3bb0cf89fdf5cfb693074a00f3","paper_method_end_to_end","FSA_KD_phi050","FSA-KD Phi(0.5)",6,6,1,"m6_n6",21,"strict_foldover",TRUE,1575399468,"0a3c468a145e9e249bd690112de8d4cbb34719fd11d5812e107c83e43bc92f92",16,4,FALSE,0.382608695652174,0.0666666666666667,-3.79486977642028,0.531273515065694,0.266666666666667,-0.200202985444726,0.96718337923712,"FSA-KD",1
